1 sink_xan_c|Intracellular Constraint::xan_c --> []
1336 CDS_18_1_20_4|Expanded Glycerophospholipid metabolism::pa_hs_18_1_20_4_c+ctp_c+h_c --> ppi_c+cdpdag_hs_18_1_20_4_c
1337 CDIPTr_18_1_20_4|Expanded Glycerophospholipid metabolism::inost_c+cdpdag_hs_18_1_20_4_c --> cmp_c+h_c+pail_hs_18_1_20_4_c
1338 PIPLC_18_1_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail_hs_18_1_20_4_c --> mi1p_D_c+h_c+dag_hs_18_1_20_4_c
1339 PIK4_18_1_20_4|Expanded Glycerophospholipid metabolism::atp_c+pail_hs_18_1_20_4_c --> h_c+adp_c+pail4p_hs_18_1_20_4_c
1340 PI4PLC_18_1_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail4p_hs_18_1_20_4_c --> h_c+mi14p_c+dag_hs_18_1_20_4_c
1341 PI4P3K_18_1_20_4|Expanded Glycerophospholipid metabolism::atp_c+pail4p_hs_18_1_20_4_c --> h_c+adp_c+pail34p_hs_18_1_20_4_c
1342 PI34P5K_18_1_20_4|Expanded Glycerophospholipid metabolism::atp_c+pail34p_hs_18_1_20_4_c --> pail345p_hs_18_1_20_4_c+h_c+adp_c
1343 PI4P5K_18_1_20_4|Expanded Glycerophospholipid metabolism::pail45p_hs_18_1_20_4_c+atp_c --> pail345p_hs_18_1_20_4_c+h_c+adp_c
1344 PI345P3P_18_1_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail345p_hs_18_1_20_4_c --> pail45p_hs_18_1_20_4_c+pi_c
1345 PI45PLC_18_1_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail45p_hs_18_1_20_4_c --> h_c+mi145p_c+dag_hs_18_1_20_4_c
1346 AGPAT1_18_2_18_2|Expanded DAG metabolism::alpha_hs_18_2_c+lnlccoa_c --> pa_hs_18_2_18_2_c+coa_c
1347 PPAP_18_2_18_2|Expanded DAG metabolism::pa_hs_18_2_18_2_c+h2o_c --> pi_c+dag_hs_18_2_18_2_c
1348 CEPTE_18_2_18_2|Expanded Phospholipid metabolism::cdpea_c+dag_hs_18_2_18_2_c --> cmp_c+pe_hs_18_2_18_2_c+h_c
1349 PSSA2_hs_18_2_18_2|Expanded Phospholipid metabolism::ser_L_c+pe_hs_18_2_18_2_c --> ps_hs_18_2_18_2_c+etha_c
1350 PSSA2_hs_18_2_18_2|Expanded Phospholipid metabolism_reverse::ps_hs_18_2_18_2_c+etha_c --> ser_L_c+pe_hs_18_2_18_2_c
1351 PSSA1_hs_18_2_18_2|Expanded Phospholipid metabolism::chol_c+ps_hs_18_2_18_2_c --> pchol_hs_18_2_18_2_c+ser_L_c
1352 PSSA1_hs_18_2_18_2|Expanded Phospholipid metabolism_reverse::pchol_hs_18_2_18_2_c+ser_L_c --> chol_c+ps_hs_18_2_18_2_c
1353 CEPTC_18_2_18_2|Expanded Phospholipid metabolism::cdpchol_c+dag_hs_18_2_18_2_c --> pchol_hs_18_2_18_2_c+cmp_c+h_c
1354 PLA2_2_18_2_18_2|Expanded Phospholipid metabolism::pchol_hs_18_2_18_2_c+h2o_c --> lnlc_c+h_c+lpchol_hs_18_2_c
1355 DAGK_hs_18_2_18_2|Expanded DAG metabolism::pa_hs_18_2_18_2_c+h_c+adp_c --> atp_c+dag_hs_18_2_18_2_c
1356 DAGK_hs_18_2_18_2|Expanded DAG metabolism_reverse::atp_c+dag_hs_18_2_18_2_c --> pa_hs_18_2_18_2_c+h_c+adp_c
1357 LPS2_18_2_18_2|Expanded DAG metabolism::h2o_c+dag_hs_18_2_18_2_c --> lnlc_c+h_c+mag_hs_18_2_c
1358 CDS_18_2_18_2|Expanded Glycerophospholipid metabolism::pa_hs_18_2_18_2_c+ctp_c+h_c --> cdpdag_hs_18_2_18_2_c+ppi_c
1359 CDIPTr_18_2_18_2|Expanded Glycerophospholipid metabolism::cdpdag_hs_18_2_18_2_c+inost_c --> cmp_c+pail_hs_18_2_18_2_c+h_c
1360 PIPLC_18_2_18_2|Expanded Glycerophospholipid metabolism::h2o_c+pail_hs_18_2_18_2_c --> mi1p_D_c+h_c+dag_hs_18_2_18_2_c
1361 PIK4_18_2_18_2|Expanded Glycerophospholipid metabolism::pail_hs_18_2_18_2_c+atp_c --> h_c+adp_c+pail4p_hs_18_2_18_2_c
1362 PI4PLC_18_2_18_2|Expanded Glycerophospholipid metabolism::h2o_c+pail4p_hs_18_2_18_2_c --> h_c+mi14p_c+dag_hs_18_2_18_2_c
1363 PI4P3K_18_2_18_2|Expanded Glycerophospholipid metabolism::atp_c+pail4p_hs_18_2_18_2_c --> pail34p_hs_18_2_18_2_c+h_c+adp_c
1364 PI34P5K_18_2_18_2|Expanded Glycerophospholipid metabolism::pail34p_hs_18_2_18_2_c+atp_c --> pail345p_hs_18_2_18_2_c+h_c+adp_c
1365 PI4P5K_18_2_18_2|Expanded Glycerophospholipid metabolism::pail45p_hs_18_2_18_2_c+atp_c --> pail345p_hs_18_2_18_2_c+h_c+adp_c
1366 PI345P3P_18_2_18_2|Expanded Glycerophospholipid metabolism::pail345p_hs_18_2_18_2_c+h2o_c --> pail45p_hs_18_2_18_2_c+pi_c
1367 PI45PLC_18_2_18_2|Expanded Glycerophospholipid metabolism::h2o_c+pail45p_hs_18_2_18_2_c --> h_c+mi145p_c+dag_hs_18_2_18_2_c
1368 AGPAT1_18_2_20_4|Expanded DAG metabolism::arachdcoa_c+alpha_hs_18_2_c --> coa_c+pa_hs_18_2_20_4_c
1369 PPAP_18_2_20_4|Expanded DAG metabolism::h2o_c+pa_hs_18_2_20_4_c --> pi_c+dag_hs_18_2_20_4_c
1370 CEPTE_18_2_20_4|Expanded Phospholipid metabolism::cdpea_c+dag_hs_18_2_20_4_c --> cmp_c+pe_hs_18_2_20_4_c+h_c
1371 PSSA2_hs_18_2_20_4|Expanded Phospholipid metabolism::pe_hs_18_2_20_4_c+ser_L_c --> etha_c+ps_hs_18_2_20_4_c
1372 PSSA2_hs_18_2_20_4|Expanded Phospholipid metabolism_reverse::etha_c+ps_hs_18_2_20_4_c --> pe_hs_18_2_20_4_c+ser_L_c
1373 PSSA1_hs_18_2_20_4|Expanded Phospholipid metabolism::chol_c+ps_hs_18_2_20_4_c --> ser_L_c+pchol_hs_18_2_20_4_c
1374 PSSA1_hs_18_2_20_4|Expanded Phospholipid metabolism_reverse::ser_L_c+pchol_hs_18_2_20_4_c --> chol_c+ps_hs_18_2_20_4_c
1375 CEPTC_18_2_20_4|Expanded Phospholipid metabolism::cdpchol_c+dag_hs_18_2_20_4_c --> cmp_c+h_c+pchol_hs_18_2_20_4_c
1376 PLA2_2_18_2_20_4|Expanded Phospholipid metabolism::h2o_c+pchol_hs_18_2_20_4_c --> h_c+lpchol_hs_18_2_c+arachd_c
1377 DAGK_hs_18_2_20_4|Expanded DAG metabolism::pa_hs_18_2_20_4_c+h_c+adp_c --> atp_c+dag_hs_18_2_20_4_c
1378 DAGK_hs_18_2_20_4|Expanded DAG metabolism_reverse::atp_c+dag_hs_18_2_20_4_c --> pa_hs_18_2_20_4_c+h_c+adp_c
1379 LPS2_18_2_20_4|Expanded DAG metabolism::h2o_c+dag_hs_18_2_20_4_c --> h_c+arachd_c+mag_hs_18_2_c
1380 CDS_18_2_20_4|Expanded Glycerophospholipid metabolism::ctp_c+pa_hs_18_2_20_4_c+h_c --> ppi_c+cdpdag_hs_18_2_20_4_c
1381 CDIPTr_18_2_20_4|Expanded Glycerophospholipid metabolism::inost_c+cdpdag_hs_18_2_20_4_c --> cmp_c+pail_hs_18_2_20_4_c+h_c
1382 PIPLC_18_2_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail_hs_18_2_20_4_c --> mi1p_D_c+h_c+dag_hs_18_2_20_4_c
1383 PIK4_18_2_20_4|Expanded Glycerophospholipid metabolism::pail_hs_18_2_20_4_c+atp_c --> pail4p_hs_18_2_20_4_c+h_c+adp_c
1384 PI4PLC_18_2_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail4p_hs_18_2_20_4_c --> h_c+dag_hs_18_2_20_4_c+mi14p_c
1385 PI4P3K_18_2_20_4|Expanded Glycerophospholipid metabolism::atp_c+pail4p_hs_18_2_20_4_c --> pail34p_hs_18_2_20_4_c+h_c+adp_c
1386 PI34P5K_18_2_20_4|Expanded Glycerophospholipid metabolism::pail34p_hs_18_2_20_4_c+atp_c --> pail345p_hs_18_2_20_4_c+h_c+adp_c
1387 PI4P5K_18_2_20_4|Expanded Glycerophospholipid metabolism::atp_c+pail45p_hs_18_2_20_4_c --> pail345p_hs_18_2_20_4_c+h_c+adp_c
1388 PI345P3P_18_2_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail345p_hs_18_2_20_4_c --> pi_c+pail45p_hs_18_2_20_4_c
1389 PI45PLC_18_2_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail45p_hs_18_2_20_4_c --> h_c+mi145p_c+dag_hs_18_2_20_4_c
1390 AGPAT1_20_4_20_4|Expanded DAG metabolism::alpha_hs_20_4_c+arachdcoa_c --> pa_hs_20_4_20_4_c+coa_c
1391 PPAP_20_4_20_4|Expanded DAG metabolism::h2o_c+pa_hs_20_4_20_4_c --> dag_hs_20_4_20_4_c+pi_c
1392 CEPTE_20_4_20_4|Expanded Phospholipid metabolism::dag_hs_20_4_20_4_c+cdpea_c --> pe_hs_20_4_20_4_c+cmp_c+h_c
1393 PSSA2_hs_20_4_20_4|Expanded Phospholipid metabolism::pe_hs_20_4_20_4_c+ser_L_c --> ps_hs_20_4_20_4_c+etha_c
1394 PSSA2_hs_20_4_20_4|Expanded Phospholipid metabolism_reverse::ps_hs_20_4_20_4_c+etha_c --> pe_hs_20_4_20_4_c+ser_L_c
1395 PSSA1_hs_20_4_20_4|Expanded Phospholipid metabolism::chol_c+ps_hs_20_4_20_4_c --> ser_L_c+pchol_hs_20_4_20_4_c
1396 PSSA1_hs_20_4_20_4|Expanded Phospholipid metabolism_reverse::ser_L_c+pchol_hs_20_4_20_4_c --> chol_c+ps_hs_20_4_20_4_c
1397 CEPTC_20_4_20_4|Expanded Phospholipid metabolism::dag_hs_20_4_20_4_c+cdpchol_c --> cmp_c+h_c+pchol_hs_20_4_20_4_c
1398 PLA2_2_20_4_20_4|Expanded Phospholipid metabolism::h2o_c+pchol_hs_20_4_20_4_c --> h_c+lpchol_hs_20_4_c+arachd_c
1399 DAGK_hs_20_4_20_4|Expanded DAG metabolism::pa_hs_20_4_20_4_c+h_c+adp_c --> dag_hs_20_4_20_4_c+atp_c
1400 DAGK_hs_20_4_20_4|Expanded DAG metabolism_reverse::dag_hs_20_4_20_4_c+atp_c --> pa_hs_20_4_20_4_c+h_c+adp_c
1401 LPS2_20_4_20_4|Expanded DAG metabolism::dag_hs_20_4_20_4_c+h2o_c --> mag_hs_20_4_c+h_c+arachd_c
1402 CDS_20_4_20_4|Expanded Glycerophospholipid metabolism::pa_hs_20_4_20_4_c+ctp_c+h_c --> ppi_c+cdpdag_hs_20_4_20_4_c
1403 CDIPTr_20_4_20_4|Expanded Glycerophospholipid metabolism::inost_c+cdpdag_hs_20_4_20_4_c --> cmp_c+pail_hs_20_4_20_4_c+h_c
1404 PIPLC_20_4_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail_hs_20_4_20_4_c --> dag_hs_20_4_20_4_c+mi1p_D_c+h_c
1405 PIK4_20_4_20_4|Expanded Glycerophospholipid metabolism::pail_hs_20_4_20_4_c+atp_c --> h_c+adp_c+pail4p_hs_20_4_20_4_c
1406 PI4PLC_20_4_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail4p_hs_20_4_20_4_c --> dag_hs_20_4_20_4_c+h_c+mi14p_c
1407 PI4P3K_20_4_20_4|Expanded Glycerophospholipid metabolism::atp_c+pail4p_hs_20_4_20_4_c --> h_c+pail34p_hs_20_4_20_4_c+adp_c
1408 PI34P5K_20_4_20_4|Expanded Glycerophospholipid metabolism::atp_c+pail34p_hs_20_4_20_4_c --> pail345p_hs_20_4_20_4_c+h_c+adp_c
1409 PI4P5K_20_4_20_4|Expanded Glycerophospholipid metabolism::pail45p_hs_20_4_20_4_c+atp_c --> pail345p_hs_20_4_20_4_c+h_c+adp_c
1410 PI345P3P_20_4_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail345p_hs_20_4_20_4_c --> pail45p_hs_20_4_20_4_c+pi_c
1411 PI45PLC_20_4_20_4|Expanded Glycerophospholipid metabolism::h2o_c+pail45p_hs_20_4_20_4_c --> dag_hs_20_4_20_4_c+h_c+mi145p_c
1412 PAFH|Glycerophospholipid Metabolism::h2o_c+paf_hs_c --> ac_c+h_c+ak2lgchol_hs_c
1413 PAFS|Glycerophospholipid Metabolism::accoa_c+ak2lgchol_hs_c --> coa_c+paf_hs_c
1414 PYRt2m|Transport_ Mitochondrial::pyr_c+h_c --> h_m+pyr_m
1415 PYRt2m|Transport_ Mitochondrial_reverse::h_m+pyr_m --> pyr_c+h_c
1416 sink_Tyr_ggn|Intracellular Constraint::Tyr_ggn_c --> []
1417 sink_Tyr_ggn|Intracellular Constraint_reverse::[] --> Tyr_ggn_c
1418 EX_paf_hs_e|Extracellular exchange::paf_hs_e --> []
1419 EX_paf_hs_e|Extracellular exchange_reverse::[] --> paf_hs_e
1420 PAFt|Transport_ Extracellular::paf_hs_e --> paf_hs_c
1421 PAFt|Transport_ Extracellular_reverse::paf_hs_c --> paf_hs_e
1422 sink_paf_hs|Intracellular Constraint::paf_hs_c --> []
1423 sink_paf_hs|Intracellular Constraint_reverse::[] --> paf_hs_c
1424 GLYt2r|Transport_ Extracellular::gly_e+h_e --> gly_c+h_c
1425 GLYt2r|Transport_ Extracellular_reverse::gly_c+h_c --> gly_e+h_e
1426 PROD2m|Proline Metabolism::fad_m+pro_L_m --> 1pyr5c_m+fadh2_m+h_m
1427 PROD2m|Proline Metabolism_reverse::1pyr5c_m+fadh2_m+h_m --> fad_m+pro_L_m
1428 HXANtx|Transport_ Peroxisomal::hxan_c --> hxan_x
1429 HXANtx|Transport_ Peroxisomal_reverse::hxan_x --> hxan_c
1430 XAO2x|Purine Catabolism::hxan_x+o2_x+h2o_x --> h2o2_x+xan_x
1431 XAO2x|Purine Catabolism_reverse::h2o2_x+xan_x --> hxan_x+o2_x+h2o_x
1432 DM_glygn3_c|Intracellular Constraint::glygn3_c --> []
1433 DM_glygn3_c|Intracellular Constraint_reverse::[] --> glygn3_c
1434 sink_adp_c|Intracellular Constraint::adp_c --> []
1435 sink_adp_c|Intracellular Constraint_reverse::[] --> adp_c
1436 DM_atp_c|Intracellular Constraint::h2o_c+atp_c --> pi_c+h_c+adp_c
1437 DM_atp_c|Intracellular Constraint_reverse::pi_c+h_c+adp_c --> h2o_c+atp_c
1438 ACCOAtm|Transport_ Mitochondrial::accoa_c --> accoa_m
1439 AMPt|Transport_ Extracellular::amp_e --> amp_c
1440 AMPt|Transport_ Extracellular_reverse::amp_c --> amp_e
1441 ATPtm|Transport_ Mitochondrial::atp_m+adp_c --> atp_c+adp_m
1442 H2Otm|Transport_ Mitochondrial::h2o_c --> h2o_m
1443 H2Otm|Transport_ Mitochondrial_reverse::h2o_m --> h2o_c
1444 H2Ot|Transport_ Extracellular::h2o_e --> h2o_c
1445 H2Ot|Transport_ Extracellular_reverse::h2o_c --> h2o_e
1446 PIt9|Transport_ Extracellular::2.0*na1_e+pi_e --> 2.0*na1_c+pi_c
1447 PIt9|Transport_ Extracellular_reverse::2.0*na1_c+pi_c --> 2.0*na1_e+pi_e
1448 SUCOASm|Citric Acid Cycle::atp_m+coa_m+succ_m --> pi_m+succoa_m+adp_m
1449 SUCOASm|Citric Acid Cycle_reverse::pi_m+succoa_m+adp_m --> atp_m+coa_m+succ_m
1450 CO2tm|Transport_ Mitochondrial::co2_c --> co2_m
1451 CO2tm|Transport_ Mitochondrial_reverse::co2_m --> co2_c
1452 COAtm|Transport_ Mitochondrial::coa_c --> coa_m
1453 COAtm|Transport_ Mitochondrial_reverse::coa_m --> coa_c
1454 NH4t3r|Transport_ Extracellular::nh4_c+h_e --> nh4_e+h_c
1455 NH4t3r|Transport_ Extracellular_reverse::nh4_e+h_c --> nh4_c+h_e
1456 Ht|Transport_ Extracellular::h_e --> h_c
1457 Ht|Transport_ Extracellular_reverse::h_c --> h_e
1458 GLNt|Transport_ Extracellular::gln_L_e --> gln_L_c
1459 GLNt|Transport_ Extracellular_reverse::gln_L_c --> gln_L_e

1 10fthf5glu_l
2 10fthf5glu_m
3 10fthf6glu_c
4 10fthf6glu_l
5 10fthf6glu_m
6 10fthf7glu_c
7 10fthf7glu_l
8 10fthf7glu_m
9 10fthf_c
10 10fthf_l
11 10fthf_m
12 12HPET_c
13 12harachd_c
14 12ppd_R_c
15 12ppd_S_c
16 13dpg_c
17 15HPET_c
18 1pyr5c_m
19 23dpg_c
20 25aics_c
21 2dr1p_c
22 2dr5p_c
23 2maacoa_m
24 2mb2coa_m
25 2mbcoa_m
26 2mop_m
27 2mp2coa_m
28 2oxoadp_c
29 2oxoadp_m
30 2pg_c
31 34dhpac_c
32 34dhpha_c
33 34dhphe_c
34 34hpp_c
35 35cgmp_c
36 35cgmp_e
37 3dhguln_c
38 3hbcoa_m
39 3hibutcoa_m
40 3hmbcoa_m
41 3hmp_m
42 3mb2coa_m
43 3mgcoa_m
44 3mob_c
45 3mob_m
46 3mop_c
47 3mop_m
48 3mox4hpac_c
49 3moxtyr_c
50 3pg_c
51 4abut_c
52 4abut_m
53 4fumacac_c
54 4hoxpacd_c
55 4hphac_c
56 4hphac_e
57 4mlacac_c
58 4mop_c
59 4mop_m
60 4nph_c
61 4nph_e
62 4nphsf_c
63 4nphsf_e
64 56dura_c
65 5HPET_c
66 5aizc_c
67 5aop_c
68 5aop_m
69 5hoxindact_c
70 5hoxindoa_c
71 5htrp_c
72 5moxact_c
73 5mthf_c
74 5mthf_e
75 5oxpro_c
76 6pgc_c
77 6pgl_c
78 L2aadp6sa_m
79 L2aadp_c
80 L2aadp_m
81 Lcystin_c
82 Lcystin_e
83 Sfglutth_c
84 Tyr_ggn_c
85 aacoa_c
86 aacoa_m
87 ac_c
88 ac_e
89 acac_c
90 acac_m
91 acald_c
92 accoa_c
93 accoa_m
94 acetol_c
95 acrn_c
96 ade_c
97 ade_e
98 adn_c
99 adn_e
100 adp_c
101 adp_e
102 adp_m
103 adprib_c
104 adprib_e
105 adrnl_c
106 adrnl_e
107 ahcys_c
108 aicar_c
109 air_c
110 ak2lgchol_hs_c
111 akg_c
112 akg_m
113 ala_B_c
114 ala_B_m
115 ala_L_c
116 ala_L_e
117 alpha_hs_16_0_c
118 alpha_hs_18_0_c
119 alpha_hs_18_1_c
120 alpha_hs_18_2_c
121 alpha_hs_20_4_c
122 amet_c
123 amp_c
124 amp_e
125 amp_m
126 aps_c
127 arachd_c
128 arachd_e
129 arachd_r
130 arachdcoa_c
131 arachdcoa_m
132 arachdcrn_c
133 arachdcrn_m
134 arg_L_c
135 arg_L_e
136 argsuc_c
137 ascb_L_c
138 ascb_L_e
139 asn_L_c
140 asn_L_e
141 asn_L_m
142 asp_L_c
143 asp_L_e
144 asp_L_m
145 atp_c
146 atp_m
147 b2coa_m
148 bilirub_c
149 bilirub_e
150 biliverd_c
151 ca2_c
152 ca2_e
153 cala_c
154 camp_c
155 cbp_m
156 cdp_c
157 cdpchol_c
158 cdpdag_hs_16_0_16_0_c
159 cdpdag_hs_16_0_18_0_c
160 cdpdag_hs_16_0_18_1_c
161 cdpdag_hs_16_0_18_2_c
162 cdpdag_hs_16_0_20_4_c
163 cdpdag_hs_18_0_18_0_c
164 cdpdag_hs_18_0_18_1_c
165 cdpdag_hs_18_0_18_2_c
166 cdpdag_hs_18_0_20_4_c
167 cdpdag_hs_18_1_18_1_c
168 cdpdag_hs_18_1_18_2_c
169 cdpdag_hs_18_1_20_4_c
170 cdpdag_hs_18_2_18_2_c
171 cdpdag_hs_18_2_20_4_c
172 cdpdag_hs_20_4_20_4_c
173 cdpea_c
174 cgly_e
175 chol_c
176 chol_e
177 cholp_c
178 cit_c
179 cit_e
180 cit_m
181 citr_L_c
182 citr_L_m
183 cl_c
184 cl_e
185 cmp_c
186 co2_c
187 co2_e
188 co2_m
189 co_c
190 co_e
191 coa_c
192 coa_m
193 cpppg3_c
194 creat_c
195 creat_e
196 crn_c
197 crn_e
198 crn_m
199 ctp_c
200 cyan_c
201 cyan_e
202 cyan_m
203 cys_L_c
204 cys_L_e
205 cytd_c
206 cytd_e
207 dad_2_c
208 dag_hs_16_0_16_0_c
209 dag_hs_16_0_18_0_c
210 dag_hs_16_0_18_1_c
211 dag_hs_16_0_18_2_c
212 dag_hs_16_0_20_4_c
213 dag_hs_18_0_18_0_c
214 dag_hs_18_0_18_1_c
215 dag_hs_18_0_18_2_c
216 dag_hs_18_0_20_4_c
217 dag_hs_18_1_18_1_c
218 dag_hs_18_1_18_2_c
219 dag_hs_18_1_20_4_c
220 dag_hs_18_2_18_2_c
221 dag_hs_18_2_20_4_c
222 dag_hs_20_4_20_4_c
223 dcacoa_c
224 dcamp_c
225 ddcacoa_c
226 dhap_c
227 dhbpt_c
228 dhdascb_c
229 dhdascb_e
230 din_c
231 dmgly_c
232 dmgly_m
233 dopa_c
234 dopa_e
235 dopasf_c
236 dopasf_e
237 drib_c
238 dxtrn_c
239 e4p_c
240 estrone_c
241 estrones_c
242 etfox_m
243 etfrd_m
244 etha_c
245 f1p_c
246 f26bp_c
247 f6p_c
248 fad_m
249 fadh2_m
250 fald_c
251 fald_m
252 fdp_c
253 fe2_c
254 fe2_e
255 fe2_m
256 fgam_c
257 ficytC_m
258 focytC_m
259 for_c
260 fpram_c
261 fprica_c
262 fru_c
263 fru_e
264 fum_c
265 fum_m
266 g1p_c
267 g3p_c
268 g3pc_c
269 g6p_c
270 g6p_r
271 gal1p_c
272 gal_c
273 gal_e
274 gar_c
275 gdp_c
276 gdp_e
277 gdp_m
278 ggn_c
279 glc_D_c
280 glc_D_e
281 glc_D_r
282 glcur_c
283 glcur_r
284 gln_L_c
285 gln_L_e
286 gln_L_m
287 glu5sa_m
288 glu_L_c
289 glu_L_e
290 glu_L_l
291 glu_L_m
292 glu_L_r
293 gluala_e
294 glucys_c
295 glutcoa_m
296 gly_c
297 gly_e
298 gly_m
299 glyald_c
300 glyb_c
301 glyb_e
302 glyc3p_c
303 glyc_c
304 glygn1_c
305 glygn2_c
306 glygn3_c
307 gmp_c
308 gmp_e
309 gsn_c
310 gsn_e
311 gthox_c
312 gthox_e
313 gthox_m
314 gthrd_c
315 gthrd_e
316 gthrd_m
317 gthrd_r
318 gtp_c
319 gtp_m
320 gua_c
321 gudac_c
322 guln_c
323 guln_r
324 h2co3_c
325 h2o2_c
326 h2o2_e
327 h2o2_m
328 h2o2_x
329 h2o_c
330 h2o_e
331 h2o_l
332 h2o_m
333 h2o_r
334 h2o_x
335 h_c
336 h_e
337 h_m
338 h_r
339 h_x
340 hco3_c
341 hco3_e
342 hco3_m
343 hcys_L_c
344 hdca_c
345 hdca_e
346 hgentis_c
347 his_L_c
348 his_L_e
349 hista_c
350 hista_e
351 hmbil_c
352 hmgcoa_m
353 homoval_c
354 hxan_c
355 hxan_e
356 hxan_x
357 ibcoa_m
358 icit_c
359 icit_m
360 id3acald_c
361 ile_L_c
362 ile_L_e
363 imp_c
364 ind3ac_c
365 inost_c
366 inost_e
367 ins_c
368 ins_e
369 ivcoa_m
370 k_c
371 k_e
372 lac_D_c
373 lac_L_c
374 lac_L_e
375 lald_D_c
376 lald_L_c
377 leu_L_c
378 leu_L_e
379 leuktrA4_c
380 leuktrA4_r
381 leuktrC4_r
382 leuktrD4_c
383 leuktrD4_r
384 leuktrE4_c
385 leuktrF4_c
386 leuktrF4_e
387 lgt_S_c
388 lnlc_c
389 lnlc_e
390 lnlccoa_c
391 lnlccoa_m
392 lnlccrn_c
393 lnlccrn_m
394 lpchol_hs_16_0_c
395 lpchol_hs_18_0_c
396 lpchol_hs_18_1_c
397 lpchol_hs_18_2_c
398 lpchol_hs_20_4_c
399 lys_L_c
400 lys_L_e
401 lys_L_m
402 mag_hs_16_0_c
403 mag_hs_18_0_c
404 mag_hs_18_1_c
405 mag_hs_18_2_c
406 mag_hs_20_4_c
407 mal_L_c
408 mal_L_m
409 malcoa_c
410 meoh_c
411 mercppyr_c
412 met_L_c
413 met_L_e
414 methf_c
415 methf_m
416 mi145p_c
417 mi14p_c
418 mi1p_D_c
419 mi4p_D_c
420 mlthf_c
421 mlthf_m
422 mmcoa_R_m
423 mmcoa_S_m
424 msa_m
425 mthgxl_c
426 na1_c
427 na1_e
428 nad_c
429 nad_e
430 nad_m
431 nadh_c
432 nadh_m
433 nadp_c
434 nadp_m
435 nadp_r
436 nadph_c
437 nadph_m
438 nadph_r
439 ncam_c
440 ncam_e
441 nh4_c
442 nh4_e
443 nh4_m
444 nmn_c
445 no_c
446 no_e
447 nrpphr_c
448 nrpphrsf_c
449 nrpphrsf_e
450 nwharg_c
451 o2_c
452 o2_e
453 o2_m
454 o2_r
455 o2_x
456 o2s_c
457 o2s_e
458 o2s_m
459 o2s_x
460 oaa_c
461 oaa_m
462 occoa_c
463 occoa_m
464 ocdca_c
465 ocdca_e
466 ocdcea_c
467 ocdcea_e
468 odecoa_c
469 odecoa_m
470 odecrn_c
471 odecrn_m
472 oh1_c
473 oh1_e
474 orn_c
475 orn_e
476 orn_m
477 pa_hs_16_0_16_0_c
478 pa_hs_16_0_18_0_c
479 pa_hs_16_0_18_1_c
480 pa_hs_16_0_18_2_c
481 pa_hs_16_0_20_4_c
482 pa_hs_18_0_18_0_c
483 pa_hs_18_0_18_1_c
484 pa_hs_18_0_18_2_c
485 pa_hs_18_0_20_4_c
486 pa_hs_18_1_18_1_c
487 pa_hs_18_1_18_2_c
488 pa_hs_18_1_20_4_c
489 pa_hs_18_2_18_2_c
490 pa_hs_18_2_20_4_c
491 pa_hs_20_4_20_4_c
492 pac_c
493 pacald_c
494 paf_hs_c
495 paf_hs_e
496 pail345p_hs_16_0_16_0_c
497 pail345p_hs_16_0_18_0_c
498 pail345p_hs_16_0_18_1_c
499 pail345p_hs_16_0_18_2_c
500 pail345p_hs_16_0_20_4_c
501 pail345p_hs_18_0_18_0_c
502 pail345p_hs_18_0_18_1_c
503 pail345p_hs_18_0_18_2_c
504 pail345p_hs_18_0_20_4_c
505 pail345p_hs_18_1_18_1_c
506 pail345p_hs_18_1_18_2_c
507 pail345p_hs_18_1_20_4_c
508 pail345p_hs_18_2_18_2_c
509 pail345p_hs_18_2_20_4_c
510 pail345p_hs_20_4_20_4_c
511 pail34p_hs_16_0_16_0_c
512 pail34p_hs_16_0_18_0_c
513 pail34p_hs_16_0_18_1_c
514 pail34p_hs_16_0_18_2_c
515 pail34p_hs_16_0_20_4_c
516 pail34p_hs_18_0_18_0_c
517 pail34p_hs_18_0_18_1_c
518 pail34p_hs_18_0_18_2_c
519 pail34p_hs_18_0_20_4_c
520 pail34p_hs_18_1_18_1_c
521 pail34p_hs_18_1_18_2_c
522 pail34p_hs_18_1_20_4_c
523 pail34p_hs_18_2_18_2_c
524 pail34p_hs_18_2_20_4_c
525 pail34p_hs_20_4_20_4_c
526 pail45p_hs_16_0_16_0_c
527 pail45p_hs_16_0_18_0_c
528 pail45p_hs_16_0_18_1_c
529 pail45p_hs_16_0_18_2_c
530 pail45p_hs_16_0_20_4_c
531 pail45p_hs_18_0_18_0_c
532 pail45p_hs_18_0_18_1_c
533 pail45p_hs_18_0_18_2_c
534 pail45p_hs_18_0_20_4_c
535 pail45p_hs_18_1_18_1_c
536 pail45p_hs_18_1_18_2_c
537 pail45p_hs_18_1_20_4_c
